time_sec,timestamp,callsign,icao24,runway,state,latitude,longitude,x,y,altitude_ft,groundspeed_kt,track_deg,on_ground,source
0,2026-06-20T18:00:00Z,N56T,a1b2c3,14,downwind,37.1010,-121.5750,500,330,1200,92,140,false,simulated_adsb
8,2026-06-20T18:00:08Z,N56T,a1b2c3,14,downwind,37.0960,-121.5780,500,330,1180,90,145,false,simulated_adsb
16,2026-06-20T18:00:16Z,N23A,b2c3d4,14,forty_five_entry,37.1045,-121.5625,560,238,1300,95,230,false,simulated_adsb
24,2026-06-20T18:00:24Z,N56T,a1b2c3,14,base,37.0830,-121.5850,420,625,1050,85,230,false,simulated_adsb
32,2026-06-20T18:00:32Z,N23A,b2c3d4,14,downwind,37.0990,-121.5765,500,330,1200,91,140,false,simulated_adsb
40,2026-06-20T18:00:40Z,N45X,c3d4e5,14,forty_five_entry,37.1050,-121.5615,560,238,1300,94,230,false,simulated_adsb
48,2026-06-20T18:00:48Z,N56T,a1b2c3,14,final,37.0750,-121.6030,206,618,850,78,320,false,simulated_adsb
56,2026-06-20T18:00:56Z,N23A,b2c3d4,14,base,37.0835,-121.5860,420,625,1050,84,230,false,simulated_adsb
64,2026-06-20T18:01:04Z,N45X,c3d4e5,14,downwind,37.0980,-121.5770,500,330,1200,90,140,false,simulated_adsb
72,2026-06-20T18:01:12Z,N56T,a1b2c3,14,short_final,37.0790,-121.5980,222,583,500,72,320,false,simulated_adsb
80,2026-06-20T18:01:20Z,N23A,b2c3d4,14,final,37.0755,-121.6025,206,618,850,78,320,false,simulated_adsb
88,2026-06-20T18:01:28Z,N45X,c3d4e5,14,base,37.0840,-121.5865,420,625,1050,84,230,false,simulated_adsb
96,2026-06-20T18:01:36Z,N56T,a1b2c3,14,landed_rollout,37.0818,-121.5965,258,440,300,45,320,true,simulated_adsb
104,2026-06-20T18:01:44Z,N23A,b2c3d4,14,short_final,37.0792,-121.5983,222,583,520,72,320,false,simulated_adsb
112,2026-06-20T18:01:52Z,N56T,a1b2c3,14,entered_taxiway,37.0820,-121.5960,302,490,280,15,0,true,simulated_adsb
120,2026-06-20T18:02:00Z,N45X,c3d4e5,14,final,37.0758,-121.6028,206,618,850,78,320,false,simulated_adsb
128,2026-06-20T18:02:08Z,N23A,b2c3d4,14,landed_rollout,37.0817,-121.5967,258,440,300,45,320,true,simulated_adsb
136,2026-06-20T18:02:16Z,N45X,c3d4e5,14,short_final,37.0791,-121.5981,222,583,520,72,320,false,simulated_adsb
144,2026-06-20T18:02:24Z,N23A,b2c3d4,14,entered_taxiway,37.0821,-121.5961,302,490,280,15,0,true,simulated_adsb
152,2026-06-20T18:02:32Z,N45X,c3d4e5,14,landed_rollout,37.0816,-121.5968,258,440,300,45,320,true,simulated_adsb
160,2026-06-20T18:02:40Z,N45X,c3d4e5,14,entered_taxiway,37.0822,-121.5962,302,490,280,15,0,true,simulated_adsb
